,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
14,,"Dolby Home Theater v4, Klipsch",2,Yes,Yes,,Nvidia,Intel,Haswell,,Discrete,,Gaming PC,"Windows 7, Windows 8",Slot-loading,14 inches,,1.64 inches,,6.12 pounds,Lithium Ion (Li-Ion),,,"6 cell, 69 Wh",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,WLED,,,1920 px,1080 px,14 inches,IPS LCD,,Nvidia,1 GB,GeForce GT 750M,Discrete,,,,2 GB,Nvidia,GeForce GTX 765M,,,,,10.17 inches,Gaming PC,1.64 inches,6.12 pounds,13.19 inches,Yes,No,Standard,8 GB,1600 MHz,16 GB,2,DDR3,,,Trackpad,"DVD Super Multi, BD-ROM",Slot-loading,,1,1,1,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,1,,,,,,,3,,,Intel,Haswell,2.4 GHz,4,Core i7-4700MQ,3.4 GHz,Intel,2.8 GHz,4,Haswell,Core i7-4900MQ,3.8 GHz,Alienware,14,http://www.theverge.com/products/alienware-14/7148,,Yes,,,,,"Windows 7, Windows 8",750 GB,HDD (7200RPM),Yes,"Other, SD",,814 GB,512 GB,"HDD (7200RPM), Flash Memory (SSD), RAID 0 (SSD)",2 megapixels,,1080p
"MacBook Air (13-inch, 2013)",,,2,,,,,Intel,Haswell,,Integrated,HD Graphics 5000,Ultraportable,Mac OS X,,13.3 inches,13 hours and 29 minutes,.68 inches,,2.96 pounds,Lithium Polymer (Li-Po),12 hr,No,54 Wh,,,,,,,,,,,13 hours and 29 minutes,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a, 802.11ac",,,,LED,Glossy,,,1440 px,900 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 5000,,,,,,,,Silver,8.94 inches,Ultraportable,.68 inches,2.96 pounds,12.8 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,,DDR3,Yes,,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,,,Intel,Haswell,1.3 GHz,2,Core i5,2.6 GHz,Intel,1.7 GHz,2,Haswell,Core i7,3.3 GHz,Apple,"MacBook Air (13-inch, 2013)",http://www.theverge.com/products/macbook-air-13-inch-2013/7141,,,Yes,,,,Mac OS X,128 GB,Flash (SSD),Yes,SD,,,512 GB,,,,720p
"MacBook Air (11-inch, 2013)",,,2,,,,,Intel,Haswell,,Integrated,HD Graphics 5000,Ultraportable,Mac OS X,,11.6 inches,,.68 inches,,2.38 pounds,Lithium Polymer (Li-Po),9 hr,No,38 Wh,,,,,,,,,,,,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a, 802.11ac",,,,LED,Glossy,,,1366 px,768 px,11.6 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 5000,,,,,,,,Silver,7.56 inches,Ultraportable,.68 inches,2.38 pounds,11.8 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,,DDR3,Yes,4,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,,,Intel,Haswell,1.3 GHz,2,Core i5,2.6 GHz,Intel,1.7 GHz,2,Haswell,Core i7,3.3 GHz,Apple,"MacBook Air (11-inch, 2013)",http://www.theverge.com/products/macbook-air-11-inch-2013/7140,,,Yes,,,,Mac OS X,128 GB,Flash (SSD),,,,,512 GB,Flash Memory (SSD),,,720p
Lifebook UH90,Lifebook UH90/L,,2,,,,,Intel,Haswell,,,,Ultraportable,Windows 8,,14 inches,,0.36 inches,Capacitive,3.06 pounds,Lithium Polymer (Li-Po),11.1 hr,,45 Wh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Glossy,Yes,262,3200 px,1800 px,14 inches,LCD,Capacitive,,,,,,,,,,,,,,,,,,,,,,,"Black, Red",9.05 inches,Ultraportable,0.36 inches,3.06 pounds,12.99 inches,Yes,No,Chiclet,4 GB,,,1,DDR3,,,Trackpad,,,,,,1,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,2,,,Intel,Haswell,1.6 GHz,2,Core i5-4200U,2.6 GHz,,,,,,,Fujitsu,Lifebook UH90,http://www.theverge.com/products/lifebook-uh90/7134,,,,Yes,,,Windows 8,500 GB,Hybrid,Yes,SD,,,,"HDD (5400RPM), Flash Memory (SSD), Hybrid Drive",1 megapixels,,720p
VAIO Duo 13,SVD13213CXW,,2,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,"Ultraportable, Convertible tablet",Windows 8,,13.3 inches,,0.77 inches,Dual-Digitizer,2.93 pounds,,,,6320 mAh,,,,,,,,,,,,,,,Optional,Optional,,Yes,4.0,,,Optional,,Optional,Yes,,"UMTS, LTE, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,,Yes,,1920 px,1080 px,13.3 inches,LCD,Dual-Digitizer,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4400,,,,,,,,"Black, White",8.27 inches,"Ultraportable, Convertible tablet",0.77 inches,2.93 pounds,12.99 inches,Yes,No,Chiclet,4 GB,,8 GB,,,,,Trackpad,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,Intel,Haswell,1.6 GHz,2,Core i5-4200U,2.6 GHz,Intel,1.8 GHz,2,Haswell,Core i7-4500U,3 GHz,Sony,VAIO Duo 13,http://www.theverge.com/products/vaio-duo-13/7133,,Yes,,,,,Windows 8,128 GB,Flash (SSD),,"SD, Memory Stick Duo",,,512 GB,Flash Memory (SSD),2.07 megapixels,,1080p
VAIO Pro 13,,,,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,Ultraportable,Windows 8,,13.3 inches,,.68 inches,Capacitive,2.34 pounds,Lithium Polymer (Li-Po),7 hr,No,4740 mAh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,Yes,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,Glossy,Yes,166,1920 px,1080 px,13.3 inches,IPS LCD,Capacitive,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4400,,,,,,,,"Black, Silver / Black",8.5 inches,Ultraportable,.68 inches,2.34 pounds,12.68 inches,Yes,,Chiclet,8 GB,1600 MHz,8 GB,,DDR3,,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,2,,,Intel,Haswell,1.8 GHz,2,Core i7-4500U,3.0 GHz,,,,,,,Sony,VAIO Pro 13,http://www.theverge.com/products/vaio-pro-13/7132,Yes,,,,,,Windows 8,128 GB,Flash (SSD),Yes,SD,,,512 GB,,1 megapixels,,VGA
VAIO Pro 11,,,,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,Ultraportable,Windows 8,,11.6 inches,,.68 inches,Capacitive,1.92 pounds,Lithium Polymer (Li-Po),6.5 hr,No,4125 mAh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,Yes,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,Glossy,Yes,190,1920 px,1080 px,11.6 inches,IPS LCD,Capacitive,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4400,,,,,,,,"Black, Silver / Black",7.76 inches,Ultraportable,.68 inches,1.92 pounds,11.22 inches,Yes,,Chiclet,4 GB,1600 MHz,4 GB,,DDR3,,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,2,,,Intel,Haswell,1.6 GHz,2,Core i5-4200U,,,,,,,,Sony,VAIO Pro 11,http://www.theverge.com/products/vaio-pro-11/7131,,,,,,,Windows 8,128 GB,Flash (SSD),Yes,SD,,,,,1 megapixels,,VGA
"GT70 (2013, Dragon Edition)",GT70 Dragon Edition 2,,2,Yes,,,Nvidia,Intel,Haswell,,Discrete,,"Desktop replacement, Gaming PC",Windows 8,,17.3 inches,,2.17 inches,,8.6 pounds,,,,9 cell,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,,,,,LED,Matte,,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,Nvidia,4 GB,GeForce GTX 780M,Discrete,,,,,,,,,,Red / Black,11.34 inches,"Desktop replacement, Gaming PC",2.17 inches,8.6 pounds,16.85 inches,Yes,Yes,Chiclet,,1600 MHz,32 GB,4,DDR3,,,Trackpad,,,,1,2,,,1,,,,,,1,,,,1,,,,,,,,,,,2,3,,,Intel,Haswell,,,Core i7,,,,,,,,MSI,"GT70 (2013, Dragon Edition)",http://www.theverge.com/products/gt70-2013-dragon-edition/7129,,,,,,,Windows 8,,,Yes,SD,750 GB,,384 GB,"HDD (7200RPM), Flash Memory (SSD), Other",,30,720p
GT70 (2013),"GT70 2OC, GT70 2OD, GT70 2OD-039US",Dynaudio,2,Yes,,,Nvidia,Intel,Haswell,,Discrete,,"Desktop replacement, Gaming PC",Windows 8,,17.3 inches,,2.17 inches,,8.6 pounds,,3 hr,,9 cell,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,Nvidia,,GeForce GTX 770M,Discrete,,,,4 GB,Nvidia,GeForce GTX 780M,,,,Black,11.34 inches,"Desktop replacement, Gaming PC",2.17 inches,8.6 pounds,16.85 inches,Yes,Yes,Chiclet,,1600 MHz,32 GB,4,DDR3,,,Trackpad,Blu-ray burner,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,3,,,Intel,Haswell,3.2 GHz,4,Core i7-4700MQ,3.4 GHz,,,,,,,MSI,GT70 (2013),http://www.theverge.com/products/gt70-2013/7128,,,,,,,Windows 8,,,Yes,SD,1 TB,,128 GB,"HDD (Unspecified RPM), Flash Memory (SSD), Other",,30,720p
GT60 (2013),"GT60 2OD-026US, GT60 2OD, GT60 2OC",Dynaudio,2,Yes,,,Nvidia,Intel,Haswell,,Discrete,,Gaming PC,Windows 8,,15.6 inches,,1.77 inches,,7.7 pounds,,3 hr,,9 cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1920 px,1080 px,15.6 inches,LCD,,,,,,,,,,,Nvidia,,GeForce GTX 770M,Discrete,,,,4 GB,Nvidia,GeForce GTX 780M,,,,Black,10.24 inches,Gaming PC,1.77 inches,7.7 pounds,14.97 inches,Yes,Yes,Chiclet,,1600 MHz,16 GB,2,DDR3,,,Trackpad,BD-ROM,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,3,,,Intel,Haswell,3.2 GHz,4,Core i7-4700MQ,3.4 GHz,,,,,,,MSI,GT60 (2013),http://www.theverge.com/products/gt60-2013/7127,,,,,,,Windows 8,,,Yes,SD,1 TB,,128 GB,"HDD (Unspecified RPM), Flash Memory (SSD)",,30,720p
GE70 (2013),"GE70 2OE-017US, GE70 20C, GE70 20E",,4,,,,Nvidia,Intel,Haswell,,Discrete,,"Desktop replacement, Gaming PC",Windows 8,,17.3 inches,,1.54 inches,,5.95 pounds,,3 hr,,6 cell,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,Nvidia,,GeForce GT 750M,Discrete,,,,2 GB,Nvidia,GeForce GTX 765M,,,,Black,10.61 inches,"Desktop replacement, Gaming PC",1.54 inches,5.95 pounds,16.46 inches,Yes,Yes,Chiclet,12 GB,1600 MHz,16 GB,2,DDR3,,,Trackpad,BD-ROM,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,Intel,Haswell,3.2 GHz,4,Core i7-4700MQ,3.4 GHz,,,,,,,MSI,GE70 (2013),http://www.theverge.com/products/ge70-2013/7126,,,,,,,Windows 8,750 GB,HDD (7200RPM),Yes,SD,,,,HDD (7200RPM),,30,720p
GE60 (2013),"GE60 2OC, GE60 2OE, GE60 2OE-003US",,4,,,,Nvidia,Intel,Haswell,,Discrete,,Gaming PC,Windows 8,,15.6 inches,,1.27 inches,,5.28 pounds,,3 hr,,6 cell,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1920 px,1080 px,15.6 inches,LCD,,,,,,,,,,,Nvidia,,GeForce GT 750M,Discrete,,,,2 GB,Nvidia,GeForce GTX 765M,,,,Black,9.83 inches,Gaming PC,1.27 inches,5.28 pounds,15.09 inches,Yes,Yes,Chiclet,8 GB,1600 MHz,16 GB,,DDR3,,,Trackpad,DVD Super Multi,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,2,,,Intel,Haswell,3.2 GHz,4,Core i7-4700MQ,3.4 GHz,,,,,,,MSI,GE60 (2013),http://www.theverge.com/products/ge60-2013/7125,,,,,,,Windows 8,750 GB,HDD (7200RPM),Yes,SD,,,256 GB,"HDD (7200RPM), Flash Memory (SSD), RAID 0 (SSD)",,30,720p
GE40 (2013),"GE40 2OC-008US, GE40 2OC-009US, GE40 2OC Dragon Eyes",,2,Yes,,,Nvidia,Intel,Haswell,,Discrete,,Gaming PC,Windows 8,,14 inches,,1.15 inches,,,,3 hr,,6 cell,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1600 px,900 px,14 inches,LCD,,,LED,,,1920 px,1080 px,14 inches,LCD,,Nvidia,2 GB,GeForce GTX 760M,Discrete,,,,,,,,,,Black,9.43 inches,Gaming PC,1.15 inches,,13.35 inches,,No,Chiclet,,1600 MHz,16 GB,2,,,,Trackpad,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,2,,,Intel,Haswell,,4,Core i7-4702QM,,,,,,,,MSI,GE40 (2013),http://www.theverge.com/products/ge40-2013/7124,,,,,,,Windows 8,,,,,750 GB,,256 GB,"HDD (7200RPM), Flash Memory (SSD)",,30,720p
XPS 12 (2013),,Waves MaxxAudio,1,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,Convertible tablet,Windows 8,,12.5 inches,,0.79 inches,Capacitive,3.35 pounds,Lithium Ion (Li-Ion),8.7 hr,No,"50 Wh, 6 cell",,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,WiDi,,,,Yes,,1920 px,1080 px,12.5 inches,LCD,Capacitive,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4400,,,,,Intel,HD Graphics 5000,,Black,8.46 inches,Convertible tablet,0.79 inches,3.35 pounds,12.48 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,,,,,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,Intel,Haswell,,,Core i5-4200U,2.6 GHz,Intel,,,Haswell,Core i7-4650U,3.3 GHz,Dell,XPS 12 (2013),http://www.theverge.com/products/xps-12-2013/7123,,,,,,,Windows 8,128 GB,Flash (SSD),,,,,512 GB,Flash Memory (SSD),1.3 megapixels,,720p
Qosmio X75,"Qosmio X75-A7295, Qosmio X75-A7298","Harmon/Kardon, DTS Studio Sound",4,,,,Nvidia,Intel,Haswell,,Switchable,HD Graphics,"Desktop replacement, Gaming PC",Windows 8,Tray-loading,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,1920 px,1080 px,17.3 inches,LCD,,,,,,,,,,,Nvidia,3 GB,GeForce GTX 770M,Switchable,Intel,HD Graphics,,,,,,,,Black / Red,,"Desktop replacement, Gaming PC",,,,Yes,Yes,Chiclet,,,32 GB,4,,,,Trackpad,BD-ROM,Tray-loading,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,,4,1,,Intel,Haswell,,,Core i7,,,,,,,,Toshiba,Qosmio X75,http://www.theverge.com/products/qosmio-x75/7119,,,,,,,Windows 8,,,Yes,SD,1.25 TB,,,"HDD (Unspecified RPM), Flash Memory (SSD)",,,
XPS 11 (2013),,,,,,,,Intel,Haswell,,,,Convertible tablet,Windows 8,,11.6 inches,,,Capacitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,2560 px,1440 px,11.6 inches,,Capacitive,,,,,,,,,,,,,,,,,,,,,,,,,Convertible tablet,,,,,,,,,,,,,,Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Haswell,,,Core i5,,,,,,,,Dell,XPS 11 (2013),http://www.theverge.com/products/xps-11-2013/7114,,,,,,,Windows 8,,,,,,,,,,,
Zenbook Infinity,,,,,,,,Intel,Haswell,,Integrated,Iris graphics 5100,Ultraportable,Windows 8,,13.3 inches,,0.61 inches,Capacitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glossy,Yes,,2560 px,1440 px,13.3 inches,IPS LCD,Capacitive,,,,,,,,,,,,,Integrated,Intel,Iris graphics 5100,,,,,,,,Blue,,Ultraportable,0.61 inches,,,Yes,No,Chiclet,,,,,,,,Trackpad,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,,,Intel,Haswell,2.8 GHz,2,Core i7-4558U,3.3 GHz,,,,,,,Asus,Zenbook Infinity,http://www.theverge.com/products/zenbook-infinity/7100,,,,,,,Windows 8,,,Yes,"SD, MMC",,,,,,,
Q2556N,,Sound Blaster Cinema,2,,,,Nvidia,Intel,Haswell,,Switchable,HD Graphics 4400,Mainstream,"Windows 7, Windows 8",Tray-loading,15.6 inches,,1.24 inches,,5.73 pounds,Lithium Ion (Li-Ion),,,"6 cell, 48.84 Wh, 4400 mAh",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,Nvidia,2 GB,GeForce GT 740M,Switchable,Intel,HD Graphics 4400,,,,,,,,Black,9.92 inches,Mainstream,1.24 inches,5.73 pounds,14.74 inches,,Yes,Chiclet,4 GB,,8 GB,2,DDR3,,,Trackpad,DVD Super Multi,Tray-loading,,1,1,,,1,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,2,1,,Intel,Haswell,,4,Core i7,,,,,,,,Gigabyte,Q2556N,http://www.theverge.com/products/q2556n/7095,,,,,,,"Windows 7, Windows 8",320 GB,HDD (5400RPM),Yes,"Other, SD",1 TB,,256 GB,"HDD (5400RPM), Flash Memory (SSD)",2 megapixels,,
Q2546N,,Sound Blaster Cinema,2,,,,Nvidia,Intel,Ivy Bridge,,Switchable,HD Graphics 4000,Mainstream,"Windows 7, Windows 8",Tray-loading,15.6 inches,,0.55 inches,,5.29 pounds,Lithium Ion (Li-Ion),,,"6 cell, 4400 mAh, 48.84 Wh",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,Nvidia,2 GB,GeForce GT 740M,Switchable,Intel,HD Graphics 4000,,,,,,,,Black,9.92 inches,Mainstream,0.55 inches,5.29 pounds,14.72 inches,,Yes,Chiclet,2 GB,,8 GB,2,DDR3,,,Trackpad,DVD Super Multi,Tray-loading,,1,1,,,1,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,2,1,,Intel,Ivy Bridge,,,,,,,,,,,Gigabyte,Q2546N,http://www.theverge.com/products/q2546n/7094,,,,,,,"Windows 7, Windows 8",320 GB,HDD (5400RPM),Yes,"Other, SD",1 TB,,256 GB,"HDD (5400RPM), Flash Memory (SSD)",2 megapixels,,
U35F,,,2,Yes,,,Nvidia,Intel,Haswell,,Switchable,HD Graphics 4400,Mainstream,"Windows 7, Windows 8",,15.6 inches,,0.83 inches,,5.07 pounds,Lithium Polymer (Li-Po),,,"6 cell, 6830 mAh, 75.81 Wh",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1366 px,768 px,15.6 inches,LCD,,,LED,,,1920 px,1080 px,15.6 inches,LCD,,Nvidia,4 GB,GeForce GT 750M,Switchable,Intel,HD Graphics 4400,,,,,,,,Black,10.63 inches,Mainstream,0.83 inches,5.07 pounds,15.16 inches,,,Chiclet,4 GB,1600 MHz,8 GB,,DDR3,,,Trackpad,"DVD Super Multi, BD Combo, Blu-ray burner",,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,2,1,,Intel,Haswell,1.6 GHz,2,Core i5-4200U,2.6 GHz,Intel,1.8 GHz,2,Haswell,Core i7-4500U,3 GHz,Gigabyte,U35F,http://www.theverge.com/products/u35f/7093,,,,,,,"Windows 7, Windows 8",,,Yes,"SD, Memory Stick, MMC",1 TB,,1 TB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",1.3 megapixels,,
U24T,,,2,,,,Nvidia,Intel,Haswell,,Switchable,HD Graphics 4400,Ultraportable,Windows 8,,14 inches,,0.81 inches,Capacitive,3.75 pounds,Lithium Polymer (Li-Po),,,"4300 mAh, 47.73 Wh",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,Yes,,1366 px,768 px,14 inches,LCD,Capacitive,,,,,,,,,,Nvidia,2 GB,GeForce GT 750M,Switchable,Intel,HD Graphics 4400,,,,,,,,Brown,9.17 inches,Ultraportable,0.81 inches,3.75 pounds,13.35 inches,,No,Chiclet,4 GB,1600 MHz,8 GB,2,DDR3,,,Trackpad,,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,2,1,,Intel,Haswell,1.6 GHz,2,Core i5-4200U,2.6 GHz,Intel,1.8 GHz,2,Haswell,Core i7-4500U,3 GHz,Gigabyte,U24T,http://www.theverge.com/products/u24t/7092,,,,,,,Windows 8,,,Yes,SD,1 TB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",1.3 megapixels,,
